289.9627,287.1664,284.9672,283.5687,282.2345,280.5972,279.2958,278.1666,277.1566,276.3314,275.7089,275.1617,274.7805,274.5608,274.5011,274.6394,274.857,275.3465,275.8171,276.5798,277.4363,278.4953,279.7331,280.9531,282.5368,284.1545,285.9894,287.9592,290.0546,292.3275,294.7591,297.342
306.1899,303.3143,301.1731,299.7995,298.4128,296.812,295.4855,294.3261,293.359,292.4458,291.8298,291.2648,290.8957,290.6732,290.6215,290.7261,290.9205,291.3241,291.8694,292.5923,293.4382,294.4494,295.6014,297.0487,298.523,300.1344,301.9604,303.8671,306.021,308.2552,310.6986,313.3054
322.5635,319.717,317.6266,316.1728,314.7553,313.1159,311.778,310.6757,309.5927,308.7802,308.0671,307.5138,307.148,306.895,306.8398,306.9262,307.1408,307.519,308.1126,308.7323,309.6823,310.6568,311.8278,313.1281,314.6089,316.2519,318.0134,319.978,322.1485,324.3202,326.6831,329.2769
339.1154,336.2104,334.1151,332.7223,331.2527,329.5686,328.2807,327.0982,326.0863,325.23,324.4753,323.9967,323.5496,323.304,323.2534,323.2854,323.5179,323.8947,324.4017,325.1267,325.9241,326.8985,328.1001,329.4629,330.8578,332.5385,334.3156,336.289,338.2904,340.5418,343.0008,345.4939
355.7839,352.9437,350.7706,349.3731,347.9137,346.2773,344.9218,343.7296,342.6979,341.8286,341.1194,340.5288,340.1003,339.8776,339.7725,339.8266,340.0278,340.4199,340.9303,341.6063,342.4341,343.4068,344.577,345.8531,347.3319,348.8717,350.6999,352.6257,354.6831,356.9414,359.3313,361.8357
372.7085,369.7887,367.6454,366.2195,364.7406,363.0835,361.7443,360.5313,359.4648,358.6004,357.8461,357.3097,356.8834,356.6111,356.4886,356.5479,356.7424,357.1057,357.6169,358.29,359.1131,360.0698,361.188,362.5014,363.9235,365.5332,367.2911,369.1787,371.2478,373.4411,375.774,378.3611
389.7241,386.8284,384.6861,383.2772,381.7526,380.0564,378.7113,377.4944,376.4476,375.5397,374.8019,374.1978,373.7841,373.5156,373.3762,373.4243,373.6068,373.9468,374.4453,375.0819,375.9077,376.8516,377.9709,379.2269,380.6747,382.2438,384.0075,385.9037,387.9343,390.1361,392.496,394.9995
406.9508,404.0535,401.913,400.4471,398.955,397.2305,395.8576,394.6427,393.5786,392.6889,391.9113,391.3122,390.8665,390.5832,390.4558,390.4757,390.6496,390.9626,391.4467,392.0982,392.8829,393.8307,394.9504,396.1984,397.5926,399.2049,400.926,402.7878,404.8308,407.0411,409.3178,411.8704
424.3719,421.4225,419.2994,417.857,416.3119,414.6009,413.2216,411.9809,410.898,409.9689,409.1957,408.5932,408.1418,407.838,407.6979,407.6953,407.8548,408.1748,408.6457,409.2598,410.0494,410.9848,412.0981,413.2998,414.7391,416.2852,417.9837,419.8555,421.8631,424.0838,426.3727,428.8569
441.959,439.0271,436.9103,435.4138,433.8698,432.1383,430.7307,429.4775,428.3956,427.4626,426.6811,426.0546,425.6001,425.271,425.1066,425.102,425.234,425.5715,426.0138,426.6301,427.3887,428.3179,429.3789,430.6249,432.0224,433.5506,435.273,437.1025,439.0867,441.2581,443.5915,446.0456
459.7523,456.7762,454.6866,453.1724,451.5974,449.8475,448.4357,447.1856,446.1052,445.1329,444.352,443.6922,443.2271,442.8994,442.72,442.6962,442.8361,443.1311,443.5781,444.163,444.9348,445.8244,446.8942,448.1172,449.4959,451.0244,452.7041,454.5384,456.5159,458.68,460.9784,463.4638
477.7375,474.7534,472.6521,471.1242,469.5283,467.7639,466.3467,465.0868,463.9586,462.9975,462.188,461.5445,461.0469,460.7022,460.5284,460.4848,460.6055,460.8841,461.3094,461.9017,462.65,463.5216,464.5782,465.79,467.1527,468.664,470.3303,472.1397,474.1161,476.2365,478.5334,480.988
495.9359,492.9167,490.8066,489.2854,487.6365,485.8869,484.4452,483.1667,482.0389,481.0473,480.2459,479.5718,479.0671,478.695,478.507,478.4711,478.5751,478.8467,479.2461,479.8198,480.5593,481.4125,482.469,483.6432,484.991,486.4874,488.1434,489.9428,491.9272,494.0141,496.3034,498.7302
514.2715,511.2665,509.164,507.6221,505.9661,504.2053,502.7416,501.4416,500.3054,499.3182,498.4872,497.7975,497.2837,496.9175,496.7161,496.6397,496.7223,496.9895,497.3898,497.947,498.6594,499.5127,500.5333,501.71,503.0442,504.5069,506.1653,507.9458,509.9052,512.0093,514.2345,516.6379
532.8557,529.8306,527.723,526.1489,524.4843,522.7013,521.2237,519.9167,518.763,517.7619,516.9208,516.2263,515.6931,515.3037,515.0821,515.023,515.0803,515.3222,515.7017,516.2456,516.9416,517.7883,518.789,519.9521,521.2632,522.735,524.3563,526.1288,528.06,530.1428,532.3728,534.7719
